age,year,migr double  & fert ↑ 2 in 2024,migr double  & fert eq. to last,migr double  & fert ↓ 0 in 2024,migr average & fert ↑ 2 in 2024,migr average & fert eq. to last,migr average & fert ↓ 0 in 2024,migr zero    & fert ↑ 2 in 2024,migr zero    & fert eq. to last,migr zero    & fert ↓ 0 in 2024
31,2002,893166,893166,893166,893166,893166,893166,893166,893166,893166
32,2002,921367,921367,921367,921367,921367,921367,921367,921367,921367
33,2002,907912,907912,907912,907912,907912,907912,907912,907912,907912
34,2002,914821,914821,914821,914821,914821,914821,914821,914821,914821
35,2002,943840,943840,943840,943840,943840,943840,943840,943840,943840
36,2002,946489,946489,946489,946489,946489,946489,946489,946489,946489
37,2002,958492,958492,958492,958492,958492,958492,958492,958492,958492
38,2002,906125,906125,906125,906125,906125,906125,906125,906125,906125
39,2002,879771,879771,879771,879771,879771,879771,879771,879771,879771
40,2002,867729,867729,867729,867729,867729,867729,867729,867729,867729
41,2002,841105,841105,841105,841105,841105,841105,841105,841105,841105
42,2002,820941,820941,820941,820941,820941,820941,820941,820941,820941
43,2002,785370,785370,785370,785370,785370,785370,785370,785370,785370
44,2002,778115,778115,778115,778115,778115,778115,778115,778115,778115
45,2002,773073,773073,773073,773073,773073,773073,773073,773073,773073
46,2002,764041,764041,764041,764041,764041,764041,764041,764041,764041
47,2002,756400,756400,756400,756400,756400,756400,756400,756400,756400
48,2002,726688,726688,726688,726688,726688,726688,726688,726688,726688
49,2002,725702,725702,725702,725702,725702,725702,725702,725702,725702
50,2002,728540,728540,728540,728540,728540,728540,728540,728540,728540
51,2002,760355,760355,760355,760355,760355,760355,760355,760355,760355
52,2002,763066,763066,763066,763066,763066,763066,763066,763066,763066
53,2002,799562,799562,799562,799562,799562,799562,799562,799562,799562
54,2002,783318,783318,783318,783318,783318,783318,783318,783318,783318
55,2002,790524,790524,790524,790524,790524,790524,790524,790524,790524
56,2002,620521,620521,620521,620521,620521,620521,620521,620521,620521
57,2002,638204,638204,638204,638204,638204,638204,638204,638204,638204
58,2002,650120,650120,650120,650120,650120,650120,650120,650120,650120
59,2002,651389,651389,651389,651389,651389,651389,651389,651389,651389
60,2002,660039,660039,660039,660039,660039,660039,660039,660039,660039
61,2002,728898,728898,728898,728898,728898,728898,728898,728898,728898
62,2002,719086,719086,719086,719086,719086,719086,719086,719086,719086
63,2002,698806,698806,698806,698806,698806,698806,698806,698806,698806
64,2002,647968,647968,647968,647968,647968,647968,647968,647968,647968
65,2002,621927,621927,621927,621927,621927,621927,621927,621927,621927
66,2002,638148,638148,638148,638148,638148,638148,638148,638148,638148
67,2002,620010,620010,620010,620010,620010,620010,620010,620010,620010
68,2002,607099,607099,607099,607099,607099,607099,607099,607099,607099
69,2002,590165,590165,590165,590165,590165,590165,590165,590165,590165
70,2002,593006,593006,593006,593006,593006,593006,593006,593006,593006
71,2002,608768,608768,608768,608768,608768,608768,608768,608768,608768
72,2002,551297,551297,551297,551297,551297,551297,551297,551297,551297
73,2002,536257,536257,536257,536257,536257,536257,536257,536257,536257
74,2002,519840,519840,519840,519840,519840,519840,519840,519840,519840
75,2002,496567,496567,496567,496567,496567,496567,496567,496567,496567
76,2002,478976,478976,478976,478976,478976,478976,478976,478976,478976
77,2002,454349,454349,454349,454349,454349,454349,454349,454349,454349
78,2002,436815,436815,436815,436815,436815,436815,436815,436815,436815
79,2002,411233,411233,411233,411233,411233,411233,411233,411233,411233
80,2002,384464,384464,384464,384464,384464,384464,384464,384464,384464
81,2002,359466,359466,359466,359466,359466,359466,359466,359466,359466
82,2002,218936,218936,218936,218936,218936,218936,218936,218936,218936
83,2002,155570,155570,155570,155570,155570,155570,155570,155570,155570
84,2002,149725,149725,149725,149725,149725,149725,149725,149725,149725
85,2002,170871,170871,170871,170871,170871,170871,170871,170871,170871
86,2002,194274,194274,194274,194274,194274,194274,194274,194274,194274
87,2002,174697,174697,174697,174697,174697,174697,174697,174697,174697
88,2002,155547,155547,155547,155547,155547,155547,155547,155547,155547
89,2002,133044,133044,133044,133044,133044,133044,133044,133044,133044
90,2002,105120,105120,105120,105120,105120,105120,105120,105120,105120
91,2002,86191,86191,86191,86191,86191,86191,86191,86191,86191
92,2002,62513,62513,62513,62513,62513,62513,62513,62513,62513
93,2002,47236,47236,47236,47236,47236,47236,47236,47236,47236
94,2002,32241,32241,32241,32241,32241,32241,32241,32241,32241
95,2002,23363,23363,23363,23363,23363,23363,23363,23363,23363
96,2002,16400,16400,16400,16400,16400,16400,16400,16400,16400
97,2002,10981,10981,10981,10981,10981,10981,10981,10981,10981
98,2002,6838,6838,6838,6838,6838,6838,6838,6838,6838
99,2002,4866,4866,4866,4866,4866,4866,4866,4866,4866
100,2002,6121,6121,6121,6121,6121,6121,6121,6121,6121
0,2003,535656,535656,535656,535656,535656,535656,535656,535656,535656
1,2003,526577,526577,526577,526577,526577,526577,526577,526577,526577
2,2003,533126,533126,533126,533126,533126,533126,533126,533126,533126
3,2003,530847,530847,530847,530847,530847,530847,530847,530847,530847
4,2003,522484,522484,522484,522484,522484,522484,522484,522484,522484
5,2003,519874,519874,519874,519874,519874,519874,519874,519874,519874
6,2003,525434,525434,525434,525434,525434,525434,525434,525434,525434
7,2003,525094,525094,525094,525094,525094,525094,525094,525094,525094
8,2003,528714,528714,528714,528714,528714,528714,528714,528714,528714
9,2003,543267,543267,543267,543267,543267,543267,543267,543267,543267
10,2003,565920,565920,565920,565920,565920,565920,565920,565920,565920
11,2003,568684,568684,568684,568684,568684,568684,568684,568684,568684
12,2003,573863,573863,573863,573863,573863,573863,573863,573863,573863
13,2003,564359,564359,564359,564359,564359,564359,564359,564359,564359
14,2003,568358,568358,568358,568358,568358,568358,568358,568358,568358
15,2003,547025,547025,547025,547025,547025,547025,547025,547025,547025
16,2003,559983,559983,559983,559983,559983,559983,559983,559983,559983
17,2003,579525,579525,579525,579525,579525,579525,579525,579525,579525
18,2003,588055,588055,588055,588055,588055,588055,588055,588055,588055
19,2003,602618,602618,602618,602618,602618,602618,602618,602618,602618
20,2003,626170,626170,626170,626170,626170,626170,626170,626170,626170
21,2003,635305,635305,635305,635305,635305,635305,635305,635305,635305
22,2003,650621,650621,650621,650621,650621,650621,650621,650621,650621
23,2003,673909,673909,673909,673909,673909,673909,673909,673909,673909
24,2003,711755,711755,711755,711755,711755,711755,711755,711755,711755
25,2003,741177,741177,741177,741177,741177,741177,741177,741177,741177
26,2003,784070,784070,784070,784070,784070,784070,784070,784070,784070
27,2003,833458,833458,833458,833458,833458,833458,833458,833458,833458
28,2003,871629,871629,871629,871629,871629,871629,871629,871629,871629
29,2003,875739,875739,875739,875739,875739,875739,875739,875739,875739
30,2003,890629,890629,890629,890629,890629,890629,890629,890629,890629
31,2003,906049,906049,906049,906049,906049,906049,906049,906049,906049
32,2003,896733,896733,896733,896733,896733,896733,896733,896733,896733
33,2003,926071,926071,926071,926071,926071,926071,926071,926071,926071
34,2003,913686,913686,913686,913686,913686,913686,913686,913686,913686
35,2003,919819,919819,919819,919819,919819,919819,919819,919819,919819
36,2003,950576,950576,950576,950576,950576,950576,950576,950576,950576
37,2003,951090,951090,951090,951090,951090,951090,951090,951090,951090
38,2003,962393,962393,962393,962393,962393,962393,962393,962393,962393
39,2003,909178,909178,909178,909178,909178,909178,909178,909178,909178
40,2003,882067,882067,882067,882067,882067,882067,882067,882067,882067
41,2003,869171,869171,869171,869171,869171,869171,869171,869171,869171
42,2003,842516,842516,842516,842516,842516,842516,842516,842516,842516
43,2003,822547,822547,822547,822547,822547,822547,822547,822547,822547
44,2003,787084,787084,787084,787084,787084,787084,787084,787084,787084
45,2003,779806,779806,779806,779806,779806,779806,779806,779806,779806
46,2003,773960,773960,773960,773960,773960,773960,773960,773960,773960
47,2003,764534,764534,764534,764534,764534,764534,764534,764534,764534
48,2003,756856,756856,756856,756856,756856,756856,756856,756856,756856
49,2003,726874,726874,726874,726874,726874,726874,726874,726874,726874
50,2003,725013,725013,725013,725013,725013,725013,725013,725013,725013
51,2003,727588,727588,727588,727588,727588,727588,727588,727588,727588
52,2003,759104,759104,759104,759104,759104,759104,759104,759104,759104
53,2003,762286,762286,762286,762286,762286,762286,762286,762286,762286
54,2003,798825,798825,798825,798825,798825,798825,798825,798825,798825
55,2003,782704,782704,782704,782704,782704,782704,782704,782704,782704
56,2003,789327,789327,789327,789327,789327,789327,789327,789327,789327
57,2003,618633,618633,618633,618633,618633,618633,618633,618633,618633
58,2003,636342,636342,636342,636342,636342,636342,636342,636342,636342
59,2003,647806,647806,647806,647806,647806,647806,647806,647806,647806
60,2003,648612,648612,648612,648612,648612,648612,648612,648612,648612
61,2003,656830,656830,656830,656830,656830,656830,656830,656830,656830
62,2003,724951,724951,724951,724951,724951,724951,724951,724951,724951
63,2003,714930,714930,714930,714930,714930,714930,714930,714930,714930
64,2003,694592,694592,694592,694592,694592,694592,694592,694592,694592
65,2003,643935,643935,643935,643935,643935,643935,643935,643935,643935
66,2003,616249,616249,616249,616249,616249,616249,616249,616249,616249
67,2003,631560,631560,631560,631560,631560,631560,631560,631560,631560
68,2003,613096,613096,613096,613096,613096,613096,613096,613096,613096
69,2003,599272,599272,599272,599272,599272,599272,599272,599272,599272
70,2003,581286,581286,581286,581286,581286,581286,581286,581286,581286
71,2003,582710,582710,582710,582710,582710,582710,582710,582710,582710
72,2003,597073,597073,597073,597073,597073,597073,597073,597073,597073
73,2003,539510,539510,539510,539510,539510,539510,539510,539510,539510
74,2003,523687,523687,523687,523687,523687,523687,523687,523687,523687
75,2003,506960,506960,506960,506960,506960,506960,506960,506960,506960
76,2003,482210,482210,482210,482210,482210,482210,482210,482210,482210
77,2003,463150,463150,463150,463150,463150,463150,463150,463150,463150
78,2003,438348,438348,438348,438348,438348,438348,438348,438348,438348
79,2003,417981,417981,417981,417981,417981,417981,417981,417981,417981
80,2003,392198,392198,392198,392198,392198,392198,392198,392198,392198
81,2003,364084,364084,364084,364084,364084,364084,364084,364084,364084
82,2003,336403,336403,336403,336403,336403,336403,336403,336403,336403
83,2003,203983,203983,203983,203983,203983,203983,203983,203983,203983
84,2003,143552,143552,143552,143552,143552,143552,143552,143552,143552
85,2003,136599,136599,136599,136599,136599,136599,136599,136599,136599
86,2003,154349,154349,154349,154349,154349,154349,154349,154349,154349
87,2003,172825,172825,172825,172825,172825,172825,172825,172825,172825
88,2003,152658,152658,152658,152658,152658,152658,152658,152658,152658
89,2003,131651,131651,131651,131651,131651,131651,131651,131651,131651
90,2003,112437,112437,112437,112437,112437,112437,112437,112437,112437
91,2003,87053,87053,87053,87053,87053,87053,87053,87053,87053
92,2003,69959,69959,69959,69959,69959,69959,69959,69959,69959
93,2003,49717,49717,49717,49717,49717,49717,49717,49717,49717
94,2003,36605,36605,36605,36605,36605,36605,36605,36605,36605
95,2003,24311,24311,24311,24311,24311,24311,24311,24311,24311
96,2003,17254,17254,17254,17254,17254,17254,17254,17254,17254
97,2003,11797,11797,11797,11797,11797,11797,11797,11797,11797
98,2003,7643,7643,7643,7643,7643,7643,7643,7643,7643
99,2003,4702,4702,4702,4702,4702,4702,4702,4702,4702
100,2003,7093,7093,7093,7093,7093,7093,7093,7093,7093
0,2004,542323,542323,542323,542323,542323,542323,542323,542323,542323
1,2004,538020,538020,538020,538020,538020,538020,538020,538020,538020
2,2004,531043,531043,531043,531043,531043,531043,531043,531043,531043
3,2004,537507,537507,537507,537507,537507,537507,537507,537507,537507
4,2004,534064,534064,534064,534064,534064,534064,534064,534064,534064
5,2004,526759,526759,526759,526759,526759,526759,526759,526759,526759
6,2004,524440,524440,524440,524440,524440,524440,524440,524440,524440
7,2004,529430,529430,529430,529430,529430,529430,529430,529430,529430
8,2004,528612,528612,528612,528612,528612,528612,528612,528612,528612
9,2004,532760,532760,532760,532760,532760,532760,532760,532760,532760
10,2004,547054,547054,547054,547054,547054,547054,547054,547054,547054
11,2004,569499,569499,569499,569499,569499,569499,569499,569499,569499
12,2004,571180,571180,571180,571180,571180,571180,571180,571180,571180
13,2004,576103,576103,576103,576103,576103,576103,576103,576103,576103
14,2004,566610,566610,566610,566610,566610,566610,566610,566610,566610
15,2004,570882,570882,570882,570882,570882,570882,570882,570882,570882
16,2004,549909,549909,549909,549909,549909,549909,549909,549909,549909
17,2004,561513,561513,561513,561513,561513,561513,561513,561513,561513
18,2004,582069,582069,582069,582069,582069,582069,582069,582069,582069
19,2004,591807,591807,591807,591807,591807,591807,591807,591807,591807
20,2004,607321,607321,607321,607321,607321,607321,607321,607321,607321
21,2004,632583,632583,632583,632583,632583,632583,632583,632583,632583
22,2004,643386,643386,643386,643386,643386,643386,643386,643386,643386
23,2004,661507,661507,661507,661507,661507,661507,661507,661507,661507
24,2004,687440,687440,687440,687440,687440,687440,687440,687440,687440
25,2004,727842,727842,727842,727842,727842,727842,727842,727842,727842
26,2004,758879,758879,758879,758879,758879,758879,758879,758879,758879
27,2004,802546,802546,802546,802546,802546,802546,802546,802546,802546
28,2004,853201,853201,853201,853201,853201,853201,853201,853201,853201
29,2004,891228,891228,891228,891228,891228,891228,891228,891228,891228
30,2004,895245,895245,895245,895245,895245,895245,895245,895245,895245
31,2004,906781,906781,906781,906781,906781,906781,906781,906781,906781
32,2004,918756,918756,918756,918756,918756,918756,918756,918756,918756
33,2004,909430,909430,909430,909430,909430,909430,909430,909430,909430
34,2004,938166,938166,938166,938166,938166,938166,938166,938166,938166
35,2004,925838,925838,925838,925838,925838,925838,925838,925838,925838
36,2004,933625,933625,933625,933625,933625,933625,933625,933625,933625
37,2004,960927,960927,960927,960927,960927,960927,960927,960927,960927
38,2004,960446,960446,960446,960446,960446,960446,960446,960446,960446
39,2004,972098,972098,972098,972098,972098,972098,972098,972098,972098
40,2004,917270,917270,917270,917270,917270,917270,917270,917270,917270
41,2004,889600,889600,889600,889600,889600,889600,889600,889600,889600
42,2004,875888,875888,875888,875888,875888,875888,875888,875888,875888
43,2004,849333,849333,849333,849333,849333,849333,849333,849333,849333
44,2004,829074,829074,829074,829074,829074,829074,829074,829074,829074
45,2004,793254,793254,793254,793254,793254,793254,793254,793254,793254
46,2004,785943,785943,785943,785943,785943,785943,785943,785943,785943
47,2004,778856,778856,778856,778856,778856,778856,778856,778856,778856
48,2004,768632,768632,768632,768632,768632,768632,768632,768632,768632
49,2004,760510,760510,760510,760510,760510,760510,760510,760510,760510
50,2004,729946,729946,729946,729946,729946,729946,729946,729946,729946
51,2004,726982,726982,726982,726982,726982,726982,726982,726982,726982
52,2004,728850,728850,728850,728850,728850,728850,728850,728850,728850
53,2004,759768,759768,759768,759768,759768,759768,759768,759768,759768
54,2004,763190,763190,763190,763190,763190,763190,763190,763190,763190
55,2004,799341,799341,799341,799341,799341,799341,799341,799341,799341
56,2004,783063,783063,783063,783063,783063,783063,783063,783063,783063
57,2004,788772,788772,788772,788772,788772,788772,788772,788772,788772
58,2004,617113,617113,617113,617113,617113,617113,617113,617113,617113
59,2004,634638,634638,634638,634638,634638,634638,634638,634638,634638
60,2004,645759,645759,645759,645759,645759,645759,645759,645759,645759
61,2004,645570,645570,645570,645570,645570,645570,645570,645570,645570
62,2004,653155,653155,653155,653155,653155,653155,653155,653155,653155
63,2004,720429,720429,720429,720429,720429,720429,720429,720429,720429
64,2004,710285,710285,710285,710285,710285,710285,710285,710285,710285
65,2004,689912,689912,689912,689912,689912,689912,689912,689912,689912
66,2004,639211,639211,639211,639211,639211,639211,639211,639211,639211
67,2004,609823,609823,609823,609823,609823,609823,609823,609823,609823
68,2004,624156,624156,624156,624156,624156,624156,624156,624156,624156
69,2004,605109,605109,605109,605109,605109,605109,605109,605109,605109
70,2004,590259,590259,590259,590259,590259,590259,590259,590259,590259
71,2004,570940,570940,570940,570940,570940,570940,570940,570940,570940
72,2004,570967,570967,570967,570967,570967,570967,570967,570967,570967
73,2004,584056,584056,584056,584056,584056,584056,584056,584056,584056
74,2004,525966,525966,525966,525966,525966,525966,525966,525966,525966
75,2004,509272,509272,509272,509272,509272,509272,509272,509272,509272
76,2004,492039,492039,492039,492039,492039,492039,492039,492039,492039
77,2004,466005,466005,466005,466005,466005,466005,466005,466005,466005
78,2004,445416,445416,445416,445416,445416,445416,445416,445416,445416
79,2004,420126,420126,420126,420126,420126,420126,420126,420126,420126
80,2004,396927,396927,396927,396927,396927,396927,396927,396927,396927
81,2004,370177,370177,370177,370177,370177,370177,370177,370177,370177
82,2004,341661,341661,341661,341661,341661,341661,341661,341661,341661
83,2004,310893,310893,310893,310893,310893,310893,310893,310893,310893
84,2004,187932,187932,187932,187932,187932,187932,187932,187932,187932
85,2004,130661,130661,130661,130661,130661,130661,130661,130661,130661
86,2004,122595,122595,122595,122595,122595,122595,122595,122595,122595
87,2004,136395,136395,136395,136395,136395,136395,136395,136395,136395
88,2004,149097,149097,149097,149097,149097,149097,149097,149097,149097
89,2004,127826,127826,127826,127826,127826,127826,127826,127826,127826
90,2004,109718,109718,109718,109718,109718,109718,109718,109718,109718
91,2004,92056,92056,92056,92056,92056,92056,92056,92056,92056
92,2004,69733,69733,69733,69733,69733,69733,69733,69733,69733
93,2004,54699,54699,54699,54699,54699,54699,54699,54699,54699
94,2004,37813,37813,37813,37813,37813,37813,37813,37813,37813
95,2004,26954,26954,26954,26954,26954,26954,26954,26954,26954
96,2004,17494,17494,17494,17494,17494,17494,17494,17494,17494
97,2004,11980,11980,11980,11980,11980,11980,11980,11980,11980
98,2004,7901,7901,7901,7901,7901,7901,7901,7901,7901
99,2004,4971,4971,4971,4971,4971,4971,4971,4971,4971
100,2004,7200,7200,7200,7200,7200,7200,7200,7200,7200
0,2005,558500,558500,558500,558500,558500,558500,558500,558500,558500
1,2005,545596,545596,545596,545596,545596,545596,545596,545596,545596
2,2005,540860,540860,540860,540860,540860,540860,540860,540860,540860
3,2005,535545,535545,535545,535545,535545,535545,535545,535545,535545
4,2005,542329,542329,542329,542329,542329,542329,542329,542329,542329
5,2005,537687,537687,537687,537687,537687,537687,537687,537687,537687
6,2005,531761,531761,531761,531761,531761,531761,531761,531761,531761
7,2005,529267,529267,529267,529267,529267,529267,529267,529267,529267
8,2005,533557,533557,533557,533557,533557,533557,533557,533557,533557
9,2005,532755,532755,532755,532755,532755,532755,532755,532755,532755
10,2005,537956,537956,537956,537956,537956,537956,537956,537956,537956
11,2005,551622,551622,551622,551622,551622,551622,551622,551622,551622
12,2005,573595,573595,573595,573595,573595,573595,573595,573595,573595
13,2005,574651,574651,574651,574651,574651,574651,574651,574651,574651
14,2005,578992,578992,578992,578992,578992,578992,578992,578992,578992
15,2005,569709,569709,569709,569709,569709,569709,569709,569709,569709
16,2005,574567,574567,574567,574567,574567,574567,574567,574567,574567
17,2005,554212,554212,554212,554212,554212,554212,554212,554212,554212
18,2005,566152,566152,566152,566152,566152,566152,566152,566152,566152
19,2005,585495,585495,585495,585495,585495,585495,585495,585495,585495
20,2005,595956,595956,595956,595956,595956,595956,595956,595956,595956
21,2005,612255,612255,612255,612255,612255,612255,612255,612255,612255
22,2005,639224,639224,639224,639224,639224,639224,639224,639224,639224
23,2005,651548,651548,651548,651548,651548,651548,651548,651548,651548
24,2005,671445,671445,671445,671445,671445,671445,671445,671445,671445
25,2005,699874,699874,699874,699874,699874,699874,699874,699874,699874
26,2005,742299,742299,742299,742299,742299,742299,742299,742299,742299
27,2005,774121,774121,774121,774121,774121,774121,774121,774121,774121
28,2005,819944,819944,819944,819944,819944,819944,819944,819944,819944
29,2005,868826,868826,868826,868826,868826,868826,868826,868826,868826
30,2005,908357,908357,908357,908357,908357,908357,908357,908357,908357
31,2005,908177,908177,908177,908177,908177,908177,908177,908177,908177
32,2005,916517,916517,916517,916517,916517,916517,916517,916517,916517
33,2005,928570,928570,928570,928570,928570,928570,928570,928570,928570
34,2005,918845,918845,918845,918845,918845,918845,918845,918845,918845
35,2005,947186,947186,947186,947186,947186,947186,947186,947186,947186
36,2005,937952,937952,937952,937952,937952,937952,937952,937952,937952
37,2005,943903,943903,943903,943903,943903,943903,943903,943903,943903
38,2005,968518,968518,968518,968518,968518,968518,968518,968518,968518
39,2005,967946,967946,967946,967946,967946,967946,967946,967946,967946
40,2005,979671,979671,979671,979671,979671,979671,979671,979671,979671
41,2005,923565,923565,923565,923565,923565,923565,923565,923565,923565
42,2005,895310,895310,895310,895310,895310,895310,895310,895310,895310
43,2005,881070,881070,881070,881070,881070,881070,881070,881070,881070
44,2005,854196,854196,854196,854196,854196,854196,854196,854196,854196
45,2005,833637,833637,833637,833637,833637,833637,833637,833637,833637
46,2005,797752,797752,797752,797752,797752,797752,797752,797752,797752
47,2005,790443,790443,790443,790443,790443,790443,790443,790443,790443
48,2005,781994,781994,781994,781994,781994,781994,781994,781994,781994
49,2005,771187,771187,771187,771187,771187,771187,771187,771187,771187
50,2005,762833,762833,762833,762833,762833,762833,762833,762833,762833
51,2005,731749,731749,731749,731749,731749,731749,731749,731749,731749
52,2005,727562,727562,727562,727562,727562,727562,727562,727562,727562
53,2005,729127,729127,729127,729127,729127,729127,729127,729127,729127
54,2005,759427,759427,759427,759427,759427,759427,759427,759427,759427
55,2005,763120,763120,763120,763120,763120,763120,763120,763120,763120
56,2005,799078,799078,799078,799078,799078,799078,799078,799078,799078
57,2005,782730,782730,782730,782730,782730,782730,782730,782730,782730
58,2005,787682,787682,787682,787682,787682,787682,787682,787682,787682
59,2005,615061,615061,615061,615061,615061,615061,615061,615061,615061
60,2005,632601,632601,632601,632601,632601,632601,632601,632601,632601
61,2005,643090,643090,643090,643090,643090,643090,643090,643090,643090
62,2005,642041,642041,642041,642041,642041,642041,642041,642041,642041
63,2005,649165,649165,649165,649165,649165,649165,649165,649165,649165
64,2005,715412,715412,715412,715412,715412,715412,715412,715412,715412
65,2005,705341,705341,705341,705341,705341,705341,705341,705341,705341
66,2005,684862,684862,684862,684862,684862,684862,684862,684862,684862
67,2005,633847,633847,633847,633847,633847,633847,633847,633847,633847
68,2005,602936,602936,602936,602936,602936,602936,602936,602936,602936
69,2005,616106,616106,616106,616106,616106,616106,616106,616106,616106
70,2005,596738,596738,596738,596738,596738,596738,596738,596738,596738
71,2005,580825,580825,580825,580825,580825,580825,580825,580825,580825
72,2005,560459,560459,560459,560459,560459,560459,560459,560459,560459
73,2005,558877,558877,558877,558877,558877,558877,558877,558877,558877
74,2005,570584,570584,570584,570584,570584,570584,570584,570584,570584
75,2005,512406,512406,512406,512406,512406,512406,512406,512406,512406
76,2005,494784,494784,494784,494784,494784,494784,494784,494784,494784
77,2005,477519,477519,477519,477519,477519,477519,477519,477519,477519
78,2005,449619,449619,449619,449619,449619,449619,449619,449619,449619
79,2005,428003,428003,428003,428003,428003,428003,428003,428003,428003
80,2005,400986,400986,400986,400986,400986,400986,400986,400986,400986
81,2005,375502,375502,375502,375502,375502,375502,375502,375502,375502
82,2005,349795,349795,349795,349795,349795,349795,349795,349795,349795
83,2005,320554,320554,320554,320554,320554,320554,320554,320554,320554
84,2005,287262,287262,287262,287262,287262,287262,287262,287262,287262
85,2005,172989,172989,172989,172989,172989,172989,172989,172989,172989
86,2005,118539,118539,118539,118539,118539,118539,118539,118539,118539
87,2005,110300,110300,110300,110300,110300,110300,110300,110300,110300
88,2005,120745,120745,120745,120745,120745,120745,120745,120745,120745
89,2005,128747,128747,128747,128747,128747,128747,128747,128747,128747
90,2005,109202,109202,109202,109202,109202,109202,109202,109202,109202
91,2005,91992,91992,91992,91992,91992,91992,91992,91992,91992
92,2005,75803,75803,75803,75803,75803,75803,75803,75803,75803
93,2005,56249,56249,56249,56249,56249,56249,56249,56249,56249
94,2005,43209,43209,43209,43209,43209,43209,43209,43209,43209
95,2005,28990,28990,28990,28990,28990,28990,28990,28990,28990
96,2005,20055,20055,20055,20055,20055,20055,20055,20055,20055
97,2005,12758,12758,12758,12758,12758,12758,12758,12758,12758
98,2005,8505,8505,8505,8505,8505,8505,8505,8505,8505
99,2005,5411,5411,5411,5411,5411,5411,5411,5411,5411
100,2005,8095,8095,8095,8095,8095,8095,8095,8095,8095
0,2006,551127,551127,551127,551127,551127,551127,551127,551127,551127
1,2006,559067,559067,559067,559067,559067,559067,559067,559067,559067
2,2006,548487,548487,548487,548487,548487,548487,548487,548487,548487
3,2006,543768,543768,543768,543768,543768,543768,543768,543768,543768
4,2006,540131,540131,540131,540131,540131,540131,540131,540131,540131
5,2006,547286,547286,547286,547286,547286,547286,547286,547286,547286
6,2006,541502,541502,541502,541502,541502,541502,541502,541502,541502
7,2006,536730,536730,536730,536730,536730,536730,536730,536730,536730
8,2006,534646,534646,534646,534646,534646,534646,534646,534646,534646
9,2006,538376,538376,538376,538376,538376,538376,538376,538376,538376
10,2006,537418,537418,537418,537418,537418,537418,537418,537418,537418
11,2006,542931,542931,542931,542931,542931,542931,542931,542931,542931
12,2006,556540,556540,556540,556540,556540,556540,556540,556540,556540
13,2006,578284,578284,578284,578284,578284,578284,578284,578284,578284
14,2006,578169,578169,578169,578169,578169,578169,578169,578169,578169
15,2006,582731,582731,582731,582731,582731,582731,582731,582731,582731
16,2006,573866,573866,573866,573866,573866,573866,573866,573866,573866
17,2006,579441,579441,579441,579441,579441,579441,579441,579441,579441
18,2006,560832,560832,560832,560832,560832,560832,560832,560832,560832
19,2006,569759,569759,569759,569759,569759,569759,569759,569759,569759
20,2006,587868,587868,587868,587868,587868,587868,587868,587868,587868
21,2006,599074,599074,599074,599074,599074,599074,599074,599074,599074
22,2006,615714,615714,615714,615714,615714,615714,615714,615714,615714
